Skill,Count,Percentage,Definition,Evidence,Math Example
Problem Reformulation and Translation,1,0.31746031746031744,The ability to problem reformulation and translation in mathematical problem-solving.,No evidence provided.,"Ten adults enter a room, remove their shoes, and toss their shoes into a pile. Later, a child randomly pairs each left shoe with a right shoe without regard to which shoes belong together. The probabi..."
Number Theory Concepts,1,0.31746031746031744,The ability to number theory concepts in mathematical problem-solving.,No evidence provided.,"For any positive integer $a,$ $\sigma(a)$ denotes the sum of the positive integer divisors of $a$ . Let $n$ be the least positive integer such that $\sigma(a^n)-1$ is divisible by $2021$ for all posit..."
Probabilistic Thinking,1,0.31746031746031744,The ability to probabilistic thinking in mathematical problem-solving.,No evidence provided.,"A token starts at the point $(0,0)$ of an $xy$ -coordinate grid and then makes a sequence of six moves. Each move is 1 unit in a direction parallel to one of the coordinate axes. Each move is selected..."
Constraint Manipulation,1,0.31746031746031744,The ability to constraint manipulation in mathematical problem-solving.,No evidence provided.,"A token starts at the point $(0,0)$ of an $xy$ -coordinate grid and then makes a sequence of six moves. Each move is 1 unit in a direction parallel to one of the coordinate axes. Each move is selected..."
Problem Representation and Reformulation,1,0.31746031746031744,The ability to translate a problem into a workable mental model and reformulate it in different ways to gain new insights.,"- ""We can think of this as a prefix code problem, but with a constraint on the first symbol.""
- ""Consider the structure of the code. It is a ternary tree for the first level, and binary trees for the subsequent levels.""
- ""Consider the analogy of a source with a ternary symbol followed by binary.""","Suppose the codeword that we use to describe a random variable X always starts with a symbol chosen from the set {7, 8, 9} , followed by binary digits {0, 1}. Thus we have a ternary code for the first..."
Symmetry Recognition,1,0.31746031746031744,The ability to symmetry recognition in mathematical problem-solving.,No evidence provided.,"Define an ordered quadruple of integers $(a, b, c, d)$ as interesting if $1 \le a<b<c<d \le 10$ , and $a+d>b+c$ . How many interesting ordered quadruples are there?"
Combinatorial Thinking,1,0.31746031746031744,The ability to combinatorial thinking in mathematical problem-solving.,No evidence provided.,"Define an ordered quadruple of integers $(a, b, c, d)$ as interesting if $1 \le a<b<c<d \le 10$ , and $a+d>b+c$ . How many interesting ordered quadruples are there?"
Coordinate Transformation,1,0.31746031746031744,The ability to coordinate transformation in mathematical problem-solving.,No evidence provided.,Find the eigenvalues and their multiplicities of the Laplace operator  $\Delta = \text{div grad}$  on a sphere of radius  $R$  in Euclidean space of dimension  $n$ .
Pattern Recognition and Invariant Identification,1,0.31746031746031744,The ability to pattern recognition and invariant identification in mathematical problem-solving.,No evidence provided.,"A frog begins at $P_0 = (0,0)$ and makes a sequence of jumps according to the following rule: from $P_n = (x_n, y_n),$ the frog jumps to $P_{n+1},$ which may be any of the points $(x_n + 7, y_n + 2),$..."
Vector Representation and Algebraic Modeling,1,0.31746031746031744,The ability to vector representation and algebraic modeling in mathematical problem-solving.,No evidence provided.,"A frog begins at $P_0 = (0,0)$ and makes a sequence of jumps according to the following rule: from $P_n = (x_n, y_n),$ the frog jumps to $P_{n+1},$ which may be any of the points $(x_n + 7, y_n + 2),$..."
Alternative Representation,1,0.31746031746031744,The ability to alternative representation in mathematical problem-solving.,No evidence provided.,"Let $S$ be a set with six elements . Let $\mathcal{P}$ be the set of all subsets of $S.$ Subsets $A$ and $B$ of $S$ , not necessarily distinct, are chosen independently and at random from $\mathcal{P}..."
Metacognitive Monitoring,1,0.31746031746031744,"Awareness and regulation of one's own thinking process, including recognizing when to check work or change approaches.","> ""This looks complicated. Let's recheck the calculations.""
> ""The second determinant has many zeros. Let's use the property that if a row or column has many zeros, expansion along that row/column simplifies things.""","Let $|M|$ denote the determinant of a square matrix $M$. Let $g:\left[0, \frac{\pi}{2}\right] \rightarrow \mathbb{R}$ be the function defined by"
Systematic Counting,1,0.31746031746031744,The ability to systematic counting in mathematical problem-solving.,No evidence provided.,"Dave arrives at an airport which has twelve gates arranged in a straight line with exactly $100$ feet between adjacent gates. His departure gate is assigned at random. After waiting at that gate, Dave..."
Alternative Solution Pathways,1,0.31746031746031744,The ability to alternative solution pathways in mathematical problem-solving.,No evidence provided.,"Dave arrives at an airport which has twelve gates arranged in a straight line with exactly $100$ feet between adjacent gates. His departure gate is assigned at random. After waiting at that gate, Dave..."
Application of Theoretical Knowledge,1,0.31746031746031744,The ability to application of theoretical knowledge in mathematical problem-solving.,No evidence provided.,"Find the least positive integer $n$ such that when $3^n$ is written in base $143$ , its two right-most digits in base $143$ are $01$ ."
